Dudley,371
Harry,17088
Er,13
Petunia,235
Albus Dumbledore,72
Albus,76
Dumbledore,1852
McGonagall,322
Dedalus Diggle,9
Voldemort,772
Lily,40
James,145
Hagrid,1491
Sirius Black,71
,153
Vernon,453
Marge,72
Figg,9
S,6
Dennis,10
Great,3
Rubeus Hagrid,5
Minerva,35
Head,3
Cornelius Fudge,42
Bathilda Bagshot,11
Tom,70
Diggle,2
Quirrell,54
Griphook,105
Madam Malkin,17
Madam,36
Malkin,6
Slytherin,128
Ollivander,53
Hedwig,168
Ginny,692
Percy,336
Fred,705
George,725
Ron,6037
Lee,50
Lee Jordan,45
Bill,290
Charlie,102
Neville,571
Hermione,4852
Ravenclaw,56
Crabbe,127
Goyle,211
Draco Malfoy,91
Draco,118
Malfoy,673
Scabbers,12
Abbott,3
Hannah,11
Susan,4
Terry,3
Millicent,5
Justin,34
Finnigan,3
Granger,22
Neville Longbottom,25
Parkinson,6
Thomas,4
Blaise,4
Mad,3
Nearly Headless Nick,46
Seamus Finnigan,30
Sir,49
Seamus,92
Gran,9
Snape,1487
Baron,5
Peeves,49
Argus Filch,11
Filch,215
Binns,31
Flitwick,97
Fang,96
D,13
Dean Thomas,34
Dean,76
Hooch,12
Pansy Parkinson,36
Parvati,94
Longbottom,15
Blood,10
Wood,155
Oliver Wood,16
Severus Snape,16
Gryffindor,62
Weasley,454
Marcus Flint,7
Flint,25
Angelina Johnson,12
Alicia Spinnet,14
Johnson,13
Angelina,39
Jordan,2
Spinnet,5
Fluffy,11
Severus,28
St,1
Sprout,61
Norbert,19
Ronan,20
Bane,18
Firenze,67
Vol,10
Professor Dumbledore,1
Lord Voldemort,113
Dobby,357
Mafalda,12
Errol,23
Arthur,116
Lockhart,175
Gilderoy Lockhart,27
Mundungus Fletcher,16
Molly,54
Gilderoy,10
Lucius,66
Justin Finch-Fletchley,6
Colin Creevey,18
Colin,36
Creevey,2
Ogden,49
Know,1
Oliver,7
Katie Bell,29
Marcus,3
Alicia,31
Katie,64
Nick,42
Sly,1
Myrtle,62
Godric Gryffindor,12
Salazar Slytherin,12
O,1
Moaning Myrtle,8
Pince,2
August,1
Pomfrey,8
Millicent Bulstrode,9
Macmillan,2
Ernie,67
Fawkes,52
Riddle,132
Ernie Macmillan,27
Tom Riddle,42
Marvolo,21
Cornelius,35
Fudge,347
Aragog,48
Thick,2
Lord,8
Godric,36
Penelope Clearwater,3
Black,266
Sh,1
Stan Shunpike,13
Stan,44
Ern,7
Sirius,992
Jus,8
Florean Fortescue,4
Penelope,3
Lupin,703
Crookshanks,51
Vincent Crabbe,3
Gregory Goyle,4
Poppy,4
Kettleburn,2
Bin,5
Sir Cadogan,22
Trelawney,159
Buckbeak,86
Pansy,22
Trevor,9
Hannah Abbott,11
Madam Rosmerta,29
Mine,7
Rosmerta,10
Peter Pettigrew,13
Pettigrew,93
Cho Chang,19
Davies,9
Cho,148
Chang,5
Snap,2
Professor Trelawney,1
Montague,26
Just,5
Macnair,20
Dog,1
Peter,37
Remus,40
Shack,1
Wh,1
Walden Macnair,1
Frank Bryce,5
Frank,52
Bryce,1
Nagini,14
Bertha Jorkins,27
Bertha,14
Pig,9
Pigwidgeon,40
Ludo Bagman,43
Ludo,20
Bagman,148
Viktor Krum,31
Krum,168
Cedric,234
Ced,4
Amos,12
Barty,15
Crouch,82
Winky,107
Narcissa,51
Viktor,23
Who,6
Rita Skeeter,88
Skeeter,35
Rita,60
Moody,417
Auror,7
Dennis Creevey,8
Graham,1
Karkaroff,150
Bartemius,1
Fire,4
Maxime,7
Hag,1
Fleur Delacour,30
Fleur,188
Hannah Abbot,1
Padma,14
Roger Davies,14
Igor,4
Roger,6
Sinistra,3
Grubbly-Plank,14
Alastor,5
Rubeus,1
Aberforth,23
Gabrielle,13
Love,1
Igor Karkaroff,3
Antonin Dolohov,2
Dolohov,26
Rookwood,14
Nott,6
Remus Lupin,10
Arabella Figg,2
Olympe,5
Dud,2
Mundungus,94
De,1
Nymphadora,7
Tonks,178
Kingsley Shacklebolt,17
Elphias Doge,6
Sturgis Podmore,8
Emmeline Vance,4
Kreacher,218
Kingsley,63
Phineas Nigellus,52
Andromeda,7
Ted Tonks,6
Rodolphus,4
Bob,1
Dolores Jane Umbridge,2
God,3
P,1
Luna,275
Sturgis,9
Luna Lovegood,21
Anthony Goldstein,7
Rose,1
Fat,2
Umbridge,375
Dolores,15
Podmore,2
Griselda Marchbanks,2
Zacharias,10
Michael,9
Jane Umbridge,4
Siri,1
Anthony,1
Marietta,33
Phineas,22
Antonin,1
Augustus Rookwood,1
March,2
Shacklebolt,3
Dawlish,5
Run,1
Marietta Edgecombe,2
Aurora,1
Minerva McGonagall,5
Grawp,48
Bu,1
Magorian,5
Marchbanks,10
Bellatrix,67
Ha,1
Nigellus,4
Nymphadora Tonks,3
Born,1
Gryff,1
Lord Vol,1
Rufus Scrimgeour,15
Scrimgeour,77
Bella,3
Yaxley,52
Rufus,5
Horace,12
Horace Slughorn,5
Slughorn,328
Dirk Cresswell,6
Fenrir Greyback,9
Romilda Vane,11
Blaise Zabini,1
Zabini,30
Cormac McLaggen,7
Buck,2
Bob Ogden,3
Morfin,45
Merope,15
Demelza Robins,3
Demelza,5
Professor Snape,1
Phineas Nigellus Black,3
Cole,6
Muriel,53
Romilda,3
Cormac,2
Sybill,3
Rufus Scrim,1
Wilkie Twycross,3
Twycross,10
Sn,1
Sybill Trelawney,1
Hokey,9
Hepzibah,20
Vector,1
Alecto,12
Fenrir,5
Amycus,10
Greyback,12
Filius,4
Pius Thicknesse,4
Thicknesse,7
Charity Burbage,3
Burbage,3
Charity,2
Grindelwald,29
Uncle Vernon,1
Dedalus,11
Long,1
Ted,22
Le,2
Mad-Eye,5
Beedle,2
Xenophilius,64
Lovegood,10
Doge,35
Elphias,9
Bathilda,42
Thorfinn Rowle,1
Rowle,5
Fletcher,1
Mafalda Hopkirk,1
Reg,4
Runcorn,11
Cattermole,2
Albert,5
Reginald Cattermole,1
Gregorovitch,1
Gornuk,7
Dirk,16
Xeno,2
Ig,1
Gellert Grindelwald,9
Gellert,3
Aberforth Dumbledore,1
Ignotus,4
Antioch,1
Scabior,16
Grip,1
Travers,7
Bogrod,9
Plan,1
Helena Ravenclaw,3
Sev,3
Mary,1
